trader_id,day,position_notional_m,n_trades,trade_hour,daily_pnl_m,cancel_rate,limit_util,rogue_active
T000,110,15.257,24,11.34,0.166,0.108,0.395,0
T000,111,16.239,13,10.85,-2.2630399999999997,0.013,0.42,0
T000,112,13.809,26,9.99,1.6705149999999975,0.057,0.357,0
T000,113,15.206,21,9.11,-0.201,0.043,0.393,0
T000,114,15.214,22,11.09,-0.785,0.035,0.394,0
T000,115,16.535,17,10.7,0.578,0.135,0.428,0
T000,116,14.759,20,11.34,1.162,0.214,0.382,0
T000,117,15.742,22,11.29,-0.047,0.038,0.407,0
T000,118,16.249,24,10.1,0.594,0.076,0.42,0
T000,119,13.037,18,10.52,-0.215,0.056,0.337,0
T000,120,16.411,23,8.36,-0.286,0.007,0.425,0
T000,121,15.931,20,10.96,-0.415,0.088,0.412,0
T000,122,17.031,19,11.44,0.549,0.101,0.441,0
T000,123,13.244,23,9.23,-0.16,0.113,0.343,0
T000,124,15.808,23,10.59,0.349,0.077,0.409,0
T000,125,15.321,18,10.93,1.135,0.094,0.396,0
T000,126,11.767,19,10.7,1.036,0.184,0.304,0
T000,127,15.717,20,9.07,-1.212,0.134,0.407,0
T000,128,17.304,22,9.81,0.963,0.161,0.448,0
T000,129,16.885,23,10.99,-0.862,0.144,0.437,0
T000,130,17.409,26,10.2,-0.905,0.064,0.45,0
T000,131,16.277,19,10.92,0.002,0.044,0.421,0
T000,132,19.568,21,10.23,-1.647,0.043,0.506,0
T000,133,18.449,22,10.51,-0.07,0.131,0.477,0
T000,134,14.201,22,11.16,0.372,0.047,0.367,0
T000,135,16.093,20,11.17,0.087,0.135,0.416,0
T000,136,12.708,20,10.22,-1.184,0.021,0.329,0
T000,137,14.617,18,8.56,-0.092,0.048,0.378,0
T000,138,15.805,23,10.89,-1.037,0.118,0.409,0
T000,139,14.727,23,11.08,-0.111,0.196,0.381,0
T000,140,19.945,27,9.24,-0.728,0.235,0.516,0
T000,141,15.223,20,9.8,-0.559,0.035,0.394,0
T000,142,14.326,21,9.76,-2.083,0.038,0.371,0
T000,143,15.357,25,10.88,0.615,0.032,0.397,0
T000,144,16.758,23,9.92,-0.882,0.048,0.434,0
T000,145,13.623,22,11.04,0.486,0.228,0.352,0
T000,146,14.229,25,10.54,-0.324,0.018,0.368,0
T000,147,13.612,22,9.75,-0.494,0.092,0.352,0
T000,148,17.778,22,11.27,-0.351,0.09,0.46,0
T000,149,16.837,26,11.92,-0.294,0.1,0.436,0
T000,150,19.218,23,10.25,0.937,0.006,0.497,0
T000,151,12.385,21,12.47,0.647,0.095,0.32,0
T000,152,16.058,24,8.9,-0.519,0.028,0.415,0
T000,153,16.885,24,10.22,-1.948,0.066,0.437,0
T000,154,12.724,24,9.8,0.317,0.118,0.329,0
T000,155,18.221,19,9.91,-0.017,0.014,0.471,0
T000,156,11.776,21,11.21,-1.475,0.029,0.305,0
T000,157,16.547,23,13.18,-0.168,0.037,0.428,0
T000,158,13.066,28,10.8,-0.575,0.145,0.338,0
T000,159,16.278,27,10.94,-0.295,0.056,0.421,0
T000,160,17.586,16,11.33,-0.298,0.078,0.455,0
T000,161,11.948,24,10.88,-1.261,0.069,0.309,0
T000,162,16.136,26,11.7,-2.252,0.091,0.417,0
T000,163,12.941,23,9.56,-0.528,0.168,0.335,0
T000,164,19.779,23,10.29,0.452,0.023,0.512,0
T000,165,14.114,24,10.73,0.512,0.085,0.365,0
T000,166,11.824,25,11.84,-0.669,0.212,0.306,0
T000,167,14.975,23,11.87,0.142,0.03,0.387,0
T000,168,17.189,21,9.54,-0.682,0.016,0.445,0
T000,169,12.568,25,9.81,0.283,0.023,0.325,0
T000,170,20.854,26,10.16,-0.466,0.063,0.54,0
T000,171,15.196,28,10.56,1.402,0.116,0.393,0
T000,172,16.527,24,10.51,-1.01,0.034,0.428,0
T000,173,15.429,15,10.28,-0.128,0.053,0.399,0
T000,174,15.726,22,11.25,-0.636,0.127,0.407,0
T000,175,15.408,20,9.4,-0.278,0.039,0.399,0
T000,176,12.721,20,9.85,1.041,0.088,0.329,0
T000,177,20.093,22,10.54,0.43,0.192,0.52,0
T000,178,13.803,25,10.16,-1.519,0.026,0.357,0
T000,179,17.963,25,10.3,-1.677,0.11,0.465,0
T000,180,12.759,28,9.51,0.588,0.16,0.33,0
T000,181,18.623,21,8.69,-0.631,0.155,0.482,0
T000,182,14.111,20,9.09,-0.494,0.037,0.365,0
T000,183,15.785,19,9.32,-0.738,0.046,0.408,0
T000,184,11.78,22,10.25,0.268,0.102,0.305,0
T000,185,10.326,23,11.66,-0.12,0.115,0.267,0
T000,186,10.024,24,9.49,-0.358,0.023,0.259,0
T000,187,16.51,22,10.71,1.239,0.025,0.427,0
T000,188,12.163,21,11.83,0.399,0.097,0.315,0
T000,189,15.362,22,9.79,0.418,0.087,0.397,0
T000,190,17.227,25,10.66,0.889,0.005,0.446,0
T000,191,13.534,22,10.45,0.222,0.126,0.35,0
T000,192,14.988,17,10.97,-1.896,0.118,0.388,0
T000,193,15.046,19,9.96,1.0,0.117,0.389,0
T000,194,16.361,16,11.22,0.101,0.268,0.423,0
T000,195,13.846,22,10.47,0.221,0.064,0.358,0
T000,196,16.504,21,8.86,0.776,0.106,0.427,0
T000,197,14.213,25,9.83,0.503,0.053,0.368,0
T000,198,14.22,17,9.09,-0.418,0.028,0.368,0
T000,199,15.933,18,9.98,0.111,0.004,0.412,0
T000,200,16.063,25,10.31,-0.456,0.006,0.416,0
T000,201,14.107,20,11.08,-1.051,0.168,0.365,0
T000,202,18.075,22,9.53,-0.416,0.084,0.468,0
T000,203,12.116,20,11.39,-1.075,0.066,0.313,0
T000,204,18.887,23,9.16,0.527,0.039,0.489,0
T000,205,13.664,20,9.81,-0.444,0.111,0.354,0
T000,206,13.07,22,9.29,-0.611,0.06,0.338,0
T000,207,17.413,19,13.28,-0.355,0.059,0.451,0
T000,208,16.149,17,10.68,-0.881,0.178,0.418,0
T000,209,17.055,25,11.58,-1.25,0.137,0.441,0
T000,210,16.096,21,8.62,-0.256,0.069,0.416,0
T000,211,16.487,21,10.06,0.073,0.064,0.427,0
T000,212,10.883,22,10.46,0.134,0.045,0.282,0
T000,213,10.573,24,11.69,0.506,0.031,0.274,0
T000,214,13.429,21,11.22,0.045,0.026,0.347,0
T000,215,14.861,26,9.57,-0.461,0.109,0.384,0
T000,216,10.735,22,9.35,-0.302,0.114,0.278,0
T000,217,16.562,19,10.3,0.82,0.089,0.429,0
T000,218,18.736,25,10.76,0.123,0.072,0.485,0
T000,219,14.158,20,9.28,-0.836,0.008,0.366,0
T000,220,11.69,24,11.89,-0.359,0.079,0.302,0
T000,221,11.84,23,11.5,-0.615,0.031,0.306,0
T000,222,11.864,23,10.02,-0.845,0.045,0.307,0
T000,223,12.768,22,10.62,-0.369,0.094,0.33,0
T000,224,8.695,25,7.42,-0.484,0.196,0.225,0
T000,225,11.004,25,10.42,-0.936,0.041,0.285,0
T000,226,11.474,20,9.61,1.016,0.023,0.297,0
T000,227,13.602,18,10.57,-0.964,0.011,0.352,0
T000,228,13.352,19,12.47,0.044,0.106,0.345,0
T000,229,17.566,18,10.18,-0.46,0.093,0.454,0
T000,230,13.757,23,10.71,-0.07,0.059,0.356,0
T000,231,19.395,17,11.24,-1.487,0.082,0.502,0
T000,232,14.161,22,10.22,-0.617,0.074,0.366,0
T000,233,16.367,23,10.7,0.758,0.078,0.423,0
T000,234,14.23,28,10.02,-0.523,0.14,0.368,0
T000,235,12.884,25,11.1,-0.993,0.209,0.333,0
T000,236,15.83,21,9.81,0.457,0.126,0.41,0
T000,237,12.368,17,11.04,-2.043,0.069,0.32,0
T000,238,16.99,20,10.58,0.579,0.068,0.44,0
T000,239,16.991,27,9.71,-1.083,0.03,0.44,0
T000,240,12.856,24,9.25,0.91,0.305,0.333,0
T000,241,11.262,20,9.38,-1.136,0.19,0.291,0
T000,242,15.06,24,10.44,0.417,0.092,0.39,0
T000,243,15.592,18,10.44,0.042,0.007,0.403,0
T000,244,12.785,22,11.49,0.61,0.083,0.331,0
T000,245,16.92,22,11.29,0.074,0.151,0.438,0
T000,246,19.04,22,8.76,-0.561,0.141,0.493,0
T000,247,13.61,22,10.86,0.39,0.125,0.352,0
T000,248,15.606,22,10.69,0.607,0.133,0.404,0
T000,249,15.909,28,9.95,0.332,0.098,0.412,0
T001,0,21.991,17,11.97,-0.049,0.056,0.451,0
T001,1,17.482,14,11.65,-0.188,0.074,0.358,0
T001,2,20.17,18,11.04,-0.418,0.134,0.413,0
T001,3,23.322,18,11.32,0.643,0.052,0.478,0
T001,4,15.953,18,10.76,0.248,0.118,0.327,0
T001,5,20.2,11,9.71,-0.898,0.087,0.414,0
T001,6,21.639,14,9.71,0.019,0.091,0.444,0
T001,7,18.884,14,10.17,-0.091,0.067,0.387,0
T001,8,20.795,18,10.28,0.408,0.103,0.426,0
T001,9,19.555,17,10.61,-0.335,0.023,0.401,0
T001,10,16.295,17,10.86,0.299,0.226,0.334,0
T001,11,15.747,21,9.79,-0.539,0.092,0.323,0
T001,12,17.155,12,11.65,0.254,0.056,0.352,0
T001,13,22.926,13,10.63,0.348,0.006,0.47,0
T001,14,22.689,18,8.33,-0.405,0.078,0.465,0
T001,15,21.295,16,8.86,-0.235,0.091,0.437,0
T001,16,10.546,13,12.6,-0.282,0.01,0.216,0
T001,17,20.325,18,11.07,0.36,0.332,0.417,0
T001,18,23.034,15,11.88,0.479,0.305,0.472,0
T001,19,18.079,14,7.95,-0.224,0.069,0.371,0
T001,20,20.279,19,10.99,0.706,0.075,0.416,0
T001,21,20.699,23,10.44,0.216,0.164,0.424,0
T001,22,13.017,21,10.88,0.516,0.035,0.267,0
T001,23,18.075,17,13.48,0.431,0.113,0.371,0
T001,24,18.962,19,9.74,-0.091,0.038,0.389,0
T001,25,21.333,16,10.91,-0.611,0.006,0.437,0
T001,26,24.109,14,10.36,0.248,0.231,0.494,0
T001,27,16.929,19,9.61,-0.123,0.077,0.347,0
T001,28,17.468,17,10.62,-0.141,0.143,0.358,0
T001,29,17.716,12,11.38,0.579,0.065,0.363,0
T001,30,16.916,13,10.27,-0.095,0.052,0.347,0
T001,31,20.337,14,9.84,-0.85,0.16,0.417,0
T001,32,24.126,11,9.27,0.573,0.194,0.495,0
T001,33,12.702,11,10.43,0.8,0.044,0.26,0
T001,34,19.465,22,9.19,0.53,0.035,0.399,0
T001,35,16.636,17,11.71,-0.067,0.101,0.341,0
T001,36,27.135,15,10.25,0.397,0.142,0.556,0
T001,37,17.091,15,10.8,0.514,0.075,0.35,0
T001,38,19.061,13,10.01,-0.399,0.049,0.391,0
T001,39,18.164,15,11.04,0.301,0.059,0.372,0
T001,40,18.694,22,9.83,0.112,0.078,0.383,0
T001,41,21.996,21,10.71,0.421,0.053,0.451,0
T001,42,19.157,10,10.16,0.635,0.092,0.393,0
T001,43,23.078,19,12.23,0.185,0.155,0.473,0
T001,44,21.87,17,10.12,0.006,0.248,0.448,0
T001,45,24.731,16,8.91,0.977,0.131,0.507,0
T001,46,22.875,18,10.96,0.075,0.083,0.469,0
T001,47,14.766,18,11.34,0.248,0.088,0.303,0
T001,48,18.601,23,8.98,0.258,0.017,0.381,0
T001,49,20.653,15,8.61,0.433,0.168,0.423,0
T001,50,24.438,20,9.77,0.104,0.095,0.501,0
T001,51,21.387,21,10.89,-0.038,0.123,0.438,0
T001,52,16.613,19,10.62,0.175,0.104,0.341,0
T001,53,20.42,18,9.88,1.114,0.15,0.419,0
T001,54,20.354,11,11.75,-0.281,0.171,0.417,0
T001,55,16.887,14,10.51,0.427,0.02,0.346,0
T001,56,14.079,14,10.7,0.48,0.049,0.289,0
T001,57,24.014,17,10.16,-0.08,0.201,0.492,0
T001,58,16.627,16,10.72,0.588,0.167,0.341,0
T001,59,17.801,18,10.62,-0.5,0.036,0.365,0
T001,60,20.366,24,9.65,-0.979,0.168,0.417,0
T001,61,20.299,14,10.53,0.232,0.036,0.416,0
T001,62,19.862,15,10.44,-0.01,0.034,0.407,0
T001,63,20.934,16,11.08,0.808,0.1,0.429,0
T001,64,22.428,14,9.22,0.073,0.01,0.46,0
T001,65,15.769,13,10.65,-0.189,0.161,0.323,0
T001,66,16.991,19,9.6,0.431,0.164,0.348,0
T001,67,11.138,17,10.6,-0.026,0.155,0.228,0
T001,68,19.85,17,11.75,-0.56,0.128,0.407,0
T001,69,17.8,15,9.81,-0.087,0.264,0.365,0
T001,70,18.161,16,10.31,-0.487,0.05,0.372,0
T001,71,21.409,14,8.93,0.526,0.172,0.439,0
T001,72,16.435,18,10.32,-0.835,0.109,0.337,0
T001,73,20.484,19,11.58,-0.358,0.014,0.42,0
T001,74,14.183,22,11.54,0.397,0.149,0.291,0
T001,75,18.262,24,11.27,-0.239,0.08,0.374,0
T001,76,22.634,18,10.8,0.006,0.082,0.464,0
T001,77,19.196,14,10.19,0.568,0.127,0.393,0
T001,78,18.754,19,11.58,-0.507,0.027,0.384,0
T001,79,20.329,12,10.08,-0.188,0.057,0.417,0
T001,80,21.797,19,11.55,-0.795,0.119,0.447,0
T001,81,19.174,22,12.64,-0.859,0.233,0.393,0
T001,82,20.958,16,11.26,0.119,0.165,0.43,0
T001,83,21.213,19,10.05,-0.539,0.042,0.435,0
T001,84,23.702,21,10.95,-0.424,0.187,0.486,0
T001,85,16.909,12,11.34,-0.404,0.396,0.347,0
T001,86,19.703,18,8.87,-0.35,0.03,0.404,0
T001,87,15.644,15,9.88,0.204,0.083,0.321,0
T001,88,20.402,18,10.85,-0.205,0.056,0.418,0
T001,89,17.573,15,9.5,0.505,0.07,0.36,0
T001,90,22.503,15,10.3,0.021,0.196,0.461,0
T001,91,18.094,22,10.71,-1.153,0.073,0.371,0
T001,92,22.184,14,10.93,-0.657,0.039,0.455,0
T001,93,20.324,12,10.4,-0.385,0.11,0.417,0
T001,94,14.342,21,10.31,-0.387,0.196,0.294,0
T001,95,19.127,17,12.31,0.218,0.158,0.392,0
T001,96,18.553,9,8.58,-0.525,0.107,0.38,0
T001,97,15.799,16,11.01,-0.38,0.06,0.324,0
T001,98,19.419,20,10.66,-0.016,0.046,0.398,0
T001,99,15.578,14,10.59,-0.315,0.198,0.319,0
T001,100,15.646,15,10.92,0.818,0.08,0.321,0
T001,101,19.341,24,10.23,-0.395,0.023,0.396,0
T001,102,21.527,22,9.16,-0.137,0.044,0.441,0
T001,103,21.679,24,10.36,-0.217,0.096,0.444,0
T001,104,20.622,10,9.49,0.774,0.106,0.423,0
T001,105,17.92,19,9.35,-0.434,0.084,0.367,0
T001,106,22.709,18,10.85,-0.049,0.03,0.465,0
T001,107,16.909,15,10.91,-0.193,0.09,0.347,0
T001,108,16.779,14,10.63,-0.233,0.032,0.344,0
T001,109,18.59,20,10.91,1.275,0.088,0.381,0
T001,110,25.593,14,11.57,0.107,0.013,0.525,0
T001,111,19.488,11,9.45,0.541,0.052,0.399,0
T001,112,21.678,13,9.81,0.079,0.162,0.444,0
T001,113,17.219,22,9.58,0.685,0.041,0.353,0
T001,114,21.8,20,10.64,0.023,0.165,0.447,0
T001,115,20.202,20,12.33,0.402,0.109,0.414,0
T001,116,15.859,18,10.9,0.355,0.1,0.325,0
T001,117,20.722,14,11.08,0.345,0.052,0.425,0
T001,118,23.219,20,11.25,1.017,0.081,0.476,0
T001,119,20.261,15,11.08,0.431,0.068,0.415,0
T001,120,20.739,16,10.1,-0.401,0.367,0.425,0
T001,121,19.363,18,11.27,0.349,0.057,0.397,0
T001,122,16.035,20,11.4,0.504,0.118,0.329,0
T001,123,20.032,18,11.09,-0.509,0.017,0.411,0
T001,124,16.642,14,10.35,-0.703,0.021,0.341,0
T001,125,19.175,20,9.41,-0.107,0.164,0.393,0
T001,126,22.747,18,10.37,0.247,0.109,0.466,0
T001,127,19.334,19,9.69,0.525,0.084,0.396,0
T001,128,23.691,17,9.05,-0.951,0.113,0.486,0
T001,129,21.316,12,10.26,0.779,0.034,0.437,0
T001,130,21.684,19,9.56,0.575,0.037,0.444,0
T001,131,20.5,14,9.36,0.45,0.09,0.42,0
T001,132,18.43,18,10.06,0.848,0.037,0.378,0
T001,133,20.481,21,10.22,0.204,0.049,0.42,0
T001,134,18.41,11,9.58,0.496,0.009,0.377,0
T001,135,21.764,15,12.02,-0.382,0.119,0.446,0
T001,136,18.878,17,10.22,0.286,0.045,0.387,0
T001,137,18.222,17,11.26,1.064,0.08,0.374,0
T001,138,21.575,13,10.27,-0.261,0.116,0.442,0
T001,139,22.04,16,10.04,0.586,0.136,0.452,0
T001,140,22.178,17,11.3,0.033,0.045,0.455,0
T001,141,13.995,15,10.77,-0.145,0.082,0.287,0
T001,142,21.751,22,11.49,-0.757,0.063,0.446,0
T001,143,16.83,17,11.13,0.426,0.077,0.345,0
T001,144,17.979,13,10.88,-0.029,0.008,0.369,0
T001,145,15.762,17,10.43,0.156,0.119,0.323,0
T001,146,19.49,15,11.34,-0.144,0.033,0.4,0
T001,147,25.012,14,10.64,0.22,0.108,0.513,0
T001,148,14.46,14,9.66,0.301,0.122,0.296,0
T001,149,18.067,18,11.54,-0.368,0.19,0.37,0
T001,150,18.441,22,11.2,-0.021,0.007,0.378,0
T001,151,16.277,17,10.83,0.487,0.086,0.334,0
T001,152,16.65,25,11.09,0.196,0.094,0.341,0
T001,153,23.622,15,10.82,-0.66,0.108,0.484,0
T001,154,25.316,17,10.77,-0.193,0.165,0.519,0
T001,155,17.938,16,9.13,0.363,0.173,0.368,0
T001,156,16.753,16,11.48,0.053,0.029,0.343,0
T001,157,25.555,21,8.81,0.733,0.148,0.524,0
T001,158,15.682,18,8.57,-0.115,0.171,0.321,0
T001,159,22.367,20,11.58,0.558,0.123,0.458,0
T001,160,16.718,16,10.95,0.743,0.061,0.343,0
T001,161,21.255,16,12.03,0.328,0.019,0.436,0
T001,162,21.112,13,11.22,-0.719,0.044,0.433,0
T001,163,20.821,16,10.72,0.339,0.046,0.427,0
T001,164,24.104,18,9.39,-0.795,0.075,0.494,0
T001,165,20.544,18,9.37,0.484,0.072,0.421,0
T001,166,19.063,18,10.44,-0.335,0.223,0.391,0
T001,167,17.34,13,11.74,-0.879,0.145,0.355,0
T001,168,17.095,19,10.82,-0.648,0.049,0.35,0
T001,169,16.03,18,11.56,0.374,0.13,0.329,0
T001,170,20.508,17,11.27,-0.69,0.117,0.42,0
T001,171,20.418,23,9.69,0.105,0.041,0.419,0
T001,172,20.826,15,13.2,-0.221,0.037,0.427,0
T001,173,26.591,12,12.17,0.036,0.098,0.545,0
T001,174,21.402,14,10.13,-0.239,0.009,0.439,0
T001,175,20.533,16,11.04,-0.324,0.038,0.421,0
T001,176,16.803,20,11.34,0.375,0.163,0.344,0
T001,177,15.736,16,12.05,0.122,0.016,0.323,0
T001,178,18.712,12,12.13,-0.203,0.134,0.384,0
T001,179,22.011,19,11.33,0.179,0.08,0.451,0
T001,180,20.692,15,11.03,-0.087,0.022,0.424,0
T001,181,19.915,18,11.24,0.293,0.007,0.408,0
T001,182,17.503,17,10.08,0.29,0.107,0.359,0
T001,183,15.964,18,13.34,0.697,0.185,0.327,0
T001,184,17.202,14,10.54,-0.548,0.032,0.353,0
T001,185,17.227,18,10.48,-0.092,0.122,0.353,0
T001,186,19.083,17,9.93,-0.444,0.117,0.391,0
T001,187,19.649,19,11.65,0.47,0.069,0.403,0
T001,188,20.237,14,11.41,1.468,0.065,0.415,0
T001,189,24.035,14,10.24,-0.819,0.037,0.493,0
T001,190,14.635,19,9.98,0.67,0.066,0.3,0
T001,191,18.848,15,10.51,-0.656,0.112,0.386,0
T001,192,21.242,16,11.88,0.477,0.091,0.435,0
T001,193,15.58,18,11.26,0.563,0.032,0.319,0
T001,194,20.612,11,9.77,0.697,0.043,0.423,0
T001,195,18.118,21,10.34,0.373,0.145,0.371,0
T001,196,18.58,14,10.49,0.155,0.169,0.381,0
T001,197,19.225,18,10.98,-0.157,0.041,0.394,0
T001,198,20.051,21,10.41,0.495,0.169,0.411,0
T001,199,18.765,19,10.94,0.121,0.019,0.385,0
T001,200,23.703,17,11.29,-0.071,0.083,0.486,0
T001,201,20.38,22,10.8,-1.204,0.061,0.418,0
T001,202,17.342,12,10.36,0.047,0.012,0.355,0
T001,203,20.67,13,11.42,-0.611,0.24,0.424,0
T001,204,20.436,18,10.73,-0.529,0.071,0.419,0
T001,205,18.332,13,11.03,-0.672,0.073,0.376,0
T001,206,17.302,17,9.73,-0.213,0.084,0.355,0
T001,207,12.665,13,11.34,-0.825,0.041,0.26,0
T001,208,18.838,12,13.16,-0.823,0.045,0.386,0
T001,209,26.605,15,9.39,-1.154,0.075,0.545,0
T001,210,20.46,16,9.61,0.343,0.067,0.419,0
T001,211,15.316,14,9.65,0.39,0.091,0.314,0
T001,212,20.889,17,12.19,0.059,0.06,0.428,0
T001,213,23.135,16,12.02,-1.016,0.088,0.474,0
T001,214,18.32,17,8.71,-0.392,0.168,0.376,0
T001,215,23.437,18,10.26,-0.124,0.051,0.48,0
T001,216,14.937,17,10.95,0.877,0.043,0.306,0
T001,217,21.693,19,11.04,-0.132,0.071,0.445,0
T001,218,20.802,20,9.8,0.146,0.038,0.426,0
T001,219,17.527,20,10.46,-0.335,0.021,0.359,0
